
UNIQUE_CARRIER,Description,Sum(DEPARTURES_PERFORMED)
"-","Unknown",360
"02Q","Titan Airways",1
"04Q","Tradewind Aviation",3597
"09Q","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",2809
"0BQ","DCA",12
"0CQ","ACM AIR CHARTER GmbH",22
"0GQ","Inter Island Airways, d/b/a Inter Island Air",0
"0JQ","Vision Airlines",2097
"0QQ","TAG Aviation (UK) Ltd.",7
"0RQ","TAG Aviation Espana S.L.",23
"0WQ","Avjet Corporation",2118
"10Q","Swiss Air Ambulance",2
"13Q","Chartright Air Inc.",181
"14Q","London Air Services Limited",134
"15Q","Air Alsie A/S",40
"17Q","Albinati Aeronautics SA",10
"1BQ","Eastern Airlines f/k/a Dynamic Airways, LLC",77
"1DQ","Island Airlines LLC",11542
"1EQ","KaiserAir, Inc.",241
"1HQ","International Jet Management GmbH",16
"1LQ","Bertelsmann Aviation GmbH",1
"1PQ","Makani Kai Air Charters",3168
"1QQ","City Wings Inc dba Seaflight",3806
"1TQ","Rhoades Aviation dba Transair",2533
"1UQ","Gainjet Aviation SA",23
"1WQ","Ultimate JetCharters LLC dba Ultimate Air Shuttle",2595
"1XQ","Dassault Falcon Service",3
"1YQ","Air Charter, Inc d/b/a Air Flamenco",15016
"20Q","Orange Air",325
"23Q","Songbird Airways Inc.",219
"24Q","Jet Story",14
"25Q","Mjet GmbH",1
"26Q","Albinati aviation Limited",1
"28Q","Menagerie Enterprises Inc d/b/a Monarch Air",946
"29Q","Erickson Helicopters",112
"2AQ","ABS JETS A.S",8
"2E","Smokey Bay Air Inc.",7577
"2F","Frontier Flying Service",409
"2GQ","Cavok Air LLC",10
"2KQ","Longtail Aviation Ltd.",18
"2O","Island Air Service",7886
"3E","Multi-Aero, Inc. d/b/a Air Choice One",14847
"3F","Pacific Airways, Inc.",8012
"3M","Silver Airways",35771
"3S","AeroLogic GmbH",99
"4B","Boutique Air",8798
"4W","Warbelow",10623
"4Y (1)","Yute Air Aka Flight Alaska",41199
"5D","Aerolitoral",9
"5V","Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo",6768
"5X","United Parcel Service",100469
"5Y","Atlas Air Inc.",7463
"6R","Aerounion Aerotransporte de Carga Union SA de CV",1
"7H","NEW PACIFIC AIRLINES",26223
"7S","Ryan Air f/k/a Arctic Transportation",13889
"8C","Air Transport International",4580
"8D","Dynamic Aviation, Inc. d/b/a Beacon",4069
"8E","Bering Air Inc.",29091
"8V","Wright Air Service",14881
"9E","Endeavor Air Inc.",174997
"9K","Hyannis Air Service, Inc. dba Cape Air",112276
"9S","Southern Air Inc.",3120
"9X","Southern Airways Express, dba Mokulele Airlines",12327
"AA","American Airlines Inc.",718117
"AAT","Air Sunshine Inc.",1428
"ABX","ABX Air Inc",10839
"AC","Air Canada",173
"ADB","Antonov Company",26
"AF","Compagnie Natl Air France",16
"AM","Aeromexico",21
"AMQ","Ameristar Air Cargo",1048
"AS","Alaska Airlines Inc.",174822
"AX","Trans States Airlines",68663
"B6","JetBlue Airways",263702
"BA","British Airways Plc",26
"BR","Eva Airways Corporation",2067
"C5","CommuteAir LLC dba CommuteAir",34114
"CA","Air China",534
"CC","Air Atlanta Icelandic",1
"CH","Bemidji Airlines",689
"CI","China Airlines Ltd.",3177
"CK","China Cargo Airline",868
"CP (2)","Compass Airlines",74289
"CX","Cathay Pacific Airways Ltd.",3891
"DE","Condor Flugdienst",7
"DL","Delta Air Lines Inc.",878386
"DY","Norwegian Air Shuttle ASA",5
"EE","Eastern Airlines Group Inc.",269
"EK","Emirates",5
"ELL","Ellis Air Taxi Inc.",462
"EM","Empire Airlines Inc.",30420
"EV","ExpressJet Airlines LLC d/b/a aha!",565819
"EY","Etihad Airways",2
"F9","Frontier Airlines Inc.",91063
"FCQ","Falcon Air Express",420
"FP","TAG Aviation S.A.",4
"FX","Federal Express Corporation",264840
"G3","VRG Linhas Aereas S A",1
"G4","Allegiant Air",65648
"G7","GoJet Airlines LLC d/b/a United Express",74909
"GBQ","G5 Executive Ag",6
"GCH","Grand Canyon Helicopters",716
"GFQ","Gulf And Caribbean Cargo",1537
"GL","Miami Air International",2321
"GV","Grant Aviation",49419
"H6","Hageland Aviation Service",101620
"HA","Hawaiian Airlines Inc.",76407
"HB","Homer Air",6658
"I4","Scott Air LLC dba Island Air Express",3146
"IB","Iberia Air Lines Of Spain",1
"IGA","Global Jet Austria, GmbH",11
"J5","Kalinin Aviation LLC d/b/a Alaska Seaplanes",16276
"K3","Venture Travel LLC d/b/a Taquan Air Service",8061
"K5","Seaport Airlines, Inc.",29744
"KAH","Kenmore Air Harbor",10777
"KAQ","Kalitta Air LLC",1480
"KAT","Katmai Air",3043
"KD","Western Global",318
"KE","Korean Air Lines Co. Ltd.",4484
"KH","Aloha Air Cargo",9702
"KL","Klm Royal Dutch Airlines",2
"KLQ","Kalitta Charters II",973
"KO","Alaska Central Express",10518
"KS","Peninsula Airways Inc.",17661
"KV","Sky Regional Airlines Inc.",7
"KX","Cayman Airways Limited",1
"KZ","Nippon Cargo Airlines",1721
"L2","Lynden Air Cargo Airlines",1890
"L7","Lan Colombia",3
"LA","LATAM Airlines Group SA dba Lan Airlines",8
"LF","CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle",2776
"LH","Lufthansa German Airlines",356
"LP","Lan Peru Airlines",3
"LW","Pacific Wings Airlines",169
"M6","Amerijet International",818
"MQ","Envoy Air",280819
"MW","Mokulele Flight Services, Inc.",40154
"NC","Northern Air Cargo Inc.",5688
"NEW","New England Airlines Inc.",6025
"NK","Spirit Air Lines",116044
"OH","PSA Airlines Inc.",177507
"OO","SkyWest Airlines Inc.",582981
"OZ","Asiana Airlines Inc.",1932
"PBQ","Privatair",1
"PEQ","SkyLink Express Inc.",6
"PFQ","Asia Pacific",121
"PH","Polynesian Airlines Ltd.",422
"PM","Prescott Support Company, Inc.",80
"PO","Polar Air Cargo Airways",1819
"PP","Jet Aviation Business Jets AG",2
"PR","Philippine Airlines Inc.",39
"PRQ","Florida West Airlines Inc.",7
"PT","Piedmont Airlines",91894
"Q5","40-Mile Air",940
"QF","Qantas Airways Ltd.",1268
"QK","Jazz Aviation LP",8
"QX","Horizon Air",118209
"RU","AirBridgeCargo Airlines Limited",791
"RV","Air Canada rouge LP",9
"RVQ","Reeve Air Alaska, LLC",338
"S2","Star Marianas Air Inc.",27394
"S4","Sata Internacional",2
"S5","Shuttle America Corp.",153308
"SEB","Seaborne Virgin Islands, Inc.",9072
"SNK","Spernak Airways Inc.",4010
"SQ","Singapore Airlines Ltd.",370
"SVW","Global Jet Luxembourg, Sa",13
"SY","Sun Country Airlines d/b/a MN Airlines",18746
"TB","TUI Airlines Belgium N.V. d/b/a Jetairfly",43
"TIQ","Tyrolean Jet Service",4
"TP","TAP-TAP Air Portugal",1
"U7","USA Jet Airlines Inc.",2834
"UA","United Air Lines Inc.",513022
